KOR,RUS
폴더 삭제,Удалить папку
폴더 열기,Открыть папку
폴더 이동,Переместить папку
폴더 이름 변경,Переименовать папку
프로필 보기,Просмотреть профиль
프로필 사진 변경,Изменить фото профиля
프로필 편집,Редактировать профиль
피드백,Обратная связь
필수 항목,Обязательное поле
필터,Фильтр
학과 안내,Информация о кафедре
학교 로고,Логотип вуза
학교 비전,Миссия и видение вуза
학교 소개,О вузе
학교 역사,История вуза
학교 위치,Местоположение вуза
학교 조직도,Структура вуза
학사 공지,Академические объявления
학사 공지사항,Академические объявления
학사 문의,Вопросы по академическим вопросам
학사 일정,Академический календарь
학사 지원,Академическая поддержка
학사팀 연락처,Контакты учебного отдела
학생 동아리,Студенческие клубы
학생 복지,Благосостояние студентов
학생 상담,Консультация для студентов
학생 상담센터,Центр студенческих консультаций
학생 서비스,Услуги для студентов
학생 지원,Поддержка студентов
학생 포털,Студенческий портал
학생 활동 지원,Поддержка студенческих мероприятий
학생증 발급,Выдача студенческого билета
학생증 분실 신고,Сообщить о потере студенческого билета
학생증 상태,Статус студенческого билета
학생증 재발급,Повторная выдача студенческого билета
학생회 공지,Объявления студенческого совета
학생회 활동,Деятельность студенческого совета
학생회,Студенческий совет
학습 지원,Поддержка обучения
학적 변동,Изменение академического статуса
학적 정정 신청,Подать заявку на изменение академического статуса
학적 조회,Проверить академический статус
학적 증명서 발급,Выдать справку об академическом статусе
학점 관리,Управление кредитами
학점 교류,Обмен кредитами
학점 부족,Недостаточно кредитов
학점 신청,Подать заявку на кредиты
학점 이수,Завершение курса
학점 확인,Проверка кредитов
행사 안내,Анонс мероприятий
행사 일정,Календарь мероприятий
행정 포털,Административный портал
행정서비스,Административные услуги
현장 방문,Посещение на месте
현재 위치 갱신,Обновить текущее местоположение
현재 위치 공유,Поделиться текущим местоположением
현재 위치,Текущее местоположение
혼잡도 정보,Информация о загруженности
홈, Главная
홈으로,На главную
화면 밝기,Яркость экрана
화면 축소,Уменьшить
화면 확대,Увеличить
화장실 찾기,Найти туалет
확인,Подтвердить
활동 내역,История активности
활동 로그,Журнал активности
활성화,Активировать
회원 탈퇴,Удалить аккаунт
회원가입,Зарегистрироваться
회원정보 수정,Редактировать профиль
휴대폰 인증,Подтверждение по телефону
휴학 신청,Заявка на академический отпуск
FAQ,Часто задаваемые вопросы
IT 지원,Поддержка IT
SMS 알림,СМС-уведомления
